[32mresult: -0.0192451, ground_truth: -0.0193462
result: -0.00905609, ground_truth: -0.00936508
result: 0.0386887, ground_truth: 0.0386915
result: 0.0659599, ground_truth: 0.0663729
result: -0.0512466, ground_truth: -0.0515556
result: -0.0251083, ground_truth: -0.0250063
result: 0.0149193, ground_truth: 0.0147152
result: -0.0139961, ground_truth: -0.0143042
result: 0.0582428, ground_truth: 0.0579348
result: 0.0483627, ground_truth: 0.0485706
result: 0.00473022, ground_truth: 0.00555611
result: 0.00123215, ground_truth: 0.00164604
result: -0.0327225, ground_truth: -0.0329304
result: 0.0730591, ground_truth: 0.0729589
result: -0.000411987, ground_truth: -0.000926971
result: -0.010601, ground_truth: -0.0108051
result: 0.0219154, ground_truth: 0.0215063
result: 0.0347786, ground_truth: 0.0347815
result: -0.0378685, ground_truth: -0.0376635
result: -0.070488, ground_truth: -0.0706959
result: -0.00298691, ground_truth: -0.00257301
result: -0.0307693, ground_truth: -0.0308723
result: -0.0168762, ground_truth: -0.0166712
result: 0.00257111, ground_truth: 0.00246906
result: 0.0345726, ground_truth: 0.0345755
result: 0.00102615, ground_truth: 0.00113106
result: -0.00689697, ground_truth: -0.00710106
result: -0.0263443, ground_truth: -0.0260353
result: -0.0187302, ground_truth: -0.0186262
result: -0.0123482, ground_truth: -0.0121431
result: 0.0919952, ground_truth: 0.0917902
result: -0.0124512, ground_truth: -0.0125551
result: 0.0184174, ground_truth: 0.0186253
result: 0.0312805, ground_truth: 0.0315914
result: 0.0105972, ground_truth: 0.0107012
result: 0.00617218, ground_truth: 0.00617409
result: 0.0372505, ground_truth: 0.0369425
result: -0.0286064, ground_truth: -0.0286083
result: -0.0627708, ground_truth: -0.0629778
result: -0.0679169, ground_truth: -0.0677118
result: -0.0154381, ground_truth: -0.0156422
result: 0.0191383, ground_truth: 0.0189342
result: 0.0482597, ground_truth: 0.0480556
result: -0.0297394, ground_truth: -0.0297403
result: 0.00360107, ground_truth: 0.00349808
result: -0.269196, ground_truth: -0.269096
result: 0.00771713, ground_truth: 0.00823212
result: -0.0640068, ground_truth: -0.0640068
result: -0.0322113, ground_truth: -0.0323124
result: 0.0669899, ground_truth: 0.0664759
result: -0.00833511, ground_truth: -0.0087471
result: 0.0308685, ground_truth: 0.0304594
result: -0.0440445, ground_truth: -0.0439405
result: -0.082737, ground_truth: -0.083045
result: 0.0478477, ground_truth: 0.0483646
result: -0.000926971, ground_truth: -0.00102997
result: 0.0523758, ground_truth: 0.0523777
result: -0.00236893, ground_truth: -0.00236702
result: -0.0584488, ground_truth: -0.0584507
result: -0.0545387, ground_truth: -0.0544367
result: 0.0253105, ground_truth: 0.0247993
result: 0.00462723, ground_truth: 0.00411606
result: 0.0663719, ground_truth: 0.0665789
result: -0.0156441, ground_truth: -0.0153332
result: -0.0217133, ground_truth: -0.0215073
result: -0.0492935, ground_truth: -0.0488806
result: 0.0224304, ground_truth: 0.0229473
result: 0.0312805, ground_truth: 0.0313854
result: 0.0259285, ground_truth: 0.0260344
result: -0.00483704, ground_truth: -0.00494003
result: -0.0376625, ground_truth: -0.0382814
result: 0.300682, ground_truth: 0.301099
result: -0.0100861, ground_truth: -0.0100851
result: -0.0372505, ground_truth: -0.0373545
result: 0.0148163, ground_truth: 0.0151262
result: -0.00597, ground_truth: -0.00627804
result: 0.0408516, ground_truth: 0.0403385
result: -0.00452805, ground_truth: -0.00463104
result: 0.0304565, ground_truth: 0.0302534
result: -0.0639038, ground_truth: -0.0640068
result: 0.0891113, ground_truth: 0.0892181
result: 0.00936127, ground_truth: 0.00987816
result: -0.0356064, ground_truth: -0.0358114
result: -0.0262413, ground_truth: -0.0263443
result: 0.0968285, ground_truth: 0.0967302
